# Can_master	Can_node	Module	MCR	FADC_Board	Pixel_number	PixelID	FADC_Quad	FADC_Chan	x[mm]	y[mm]	
1	1	1	1	1	1	698	6	28	72.9	28.06
1	1	1	1	1	2	662	6	27	60.75	7.01
1	1	1	1	1	3	626	6	26	72.9	-14.03
1	1	1	1	1	4	590	6	25	60.75	-35.07
1	1	1	1	1	5	697	7	32	48.6	28.06
1	1	1	1	1	6	661	7	31	36.45	7.01
1	1	1	1	1	7	625	7	30	48.6	-14.03
1	1	1	1	1	8	589	7	29	36.45	-35.07
1	1	1	1	1	9	660	8	34	12.15	7.01
1	1	1	1	1	10	624	8	33	24.3	-14.03
1	1	1	1	1	11	588	8	36	12.15	-35.07
1	1	1	1	1	12	552	8	35	24.3	-56.12
1	2	4	1	1	1	554	9	40	72.9	-56.12
1	2	4	1	1	2	518	9	39	60.75	-77.16
1	2	4	1	1	3	482	9	38	72.9	-98.21
1	2	4	1	1	4	446	9	37	60.75	-119.25
1	2	4	1	1	5	553	10	44	48.6	-56.12
1	2	4	1	1	6	517	10	43	36.45	-77.16
1	2	4	1	1	7	481	10	42	48.6	-98.21
1	2	4	1	1	8	445	10	41	36.45	-119.25
1	2	4	1	1	9	516	11	46	12.15	-77.16
1	2	4	1	1	10	480	11	45	24.3	-98.21
1	2	4	1	1	11	444	11	48	12.15	-119.25
1	2	4	1	1	12	408	11	47	24.3	-140.3
1	3	5	1	1	1	629	3	16	145.8	-14.03
1	3	5	1	1	2	593	3	15	133.65	-35.07
1	3	5	1	1	3	557	3	14	145.8	-56.12
1	3	5	1	1	4	521	3	13	133.65	-77.16
1	3	5	1	1	5	628	4	20	121.5	-14.03
1	3	5	1	1	6	592	4	19	109.35	-35.07
1	3	5	1	1	7	556	4	18	121.5	-56.12
1	3	5	1	1	8	520	4	17	109.35	-77.16
1	3	5	1	1	9	591	5	22	85.05	-35.07
1	3	5	1	1	10	555	5	21	97.2	-56.12
1	3	5	1	1	11	519	5	24	85.05	-77.16
1	3	5	1	1	12	483	5	23	97.2	-98.21
1	4	6	1	1	1	773	0	4	145.8	70.15
1	4	6	1	1	2	737	0	3	133.65	49.1
1	4	6	1	1	3	701	0	2	145.8	28.06
1	4	6	1	1	4	665	0	1	133.65	7.01
1	4	6	1	1	5	772	1	8	121.5	70.15
1	4	6	1	1	6	736	1	7	109.35	49.1
1	4	6	1	1	7	700	1	6	121.5	28.06
1	4	6	1	1	8	664	1	5	109.35	7.01
1	4	6	1	1	9	735	2	10	85.05	49.1
1	4	6	1	1	10	699	2	9	97.2	28.06
1	4	6	1	1	11	663	2	12	85.05	7.01
1	4	6	1	1	12	627	2	11	97.2	-14.03
1	5	13	1	2	1	410	6	28	72.9	-140.3
1	5	13	1	2	2	374	6	27	60.75	-161.34
1	5	13	1	2	3	338	6	26	72.9	-182.39
1	5	13	1	2	4	302	6	25	60.75	-203.43
1	5	13	1	2	5	409	7	32	48.6	-140.3
1	5	13	1	2	6	373	7	31	36.45	-161.34
1	5	13	1	2	7	337	7	30	48.6	-182.39
1	5	13	1	2	8	301	7	29	36.45	-203.43
1	5	13	1	2	9	372	8	34	12.15	-161.34
1	5	13	1	2	10	336	8	33	24.3	-182.39
1	5	13	1	2	11	300	8	36	12.15	-203.43
1	5	13	1	2	12	264	8	35	24.3	-224.47
1	6	14	1	2	1	485	0	4	145.8	-98.21
1	6	14	1	2	2	449	0	3	133.65	-119.25
1	6	14	1	2	3	413	0	2	145.8	-140.3
1	6	14	1	2	4	377	0	1	133.65	-161.34
1	6	14	1	2	5	484	1	8	121.5	-98.21
1	6	14	1	2	6	448	1	7	109.35	-119.25
1	6	14	1	2	7	412	1	6	121.5	-140.3
1	6	14	1	2	8	376	1	5	109.35	-161.34
1	6	14	1	2	9	447	2	10	85.05	-119.25
1	6	14	1	2	10	411	2	9	97.2	-140.3
1	6	14	1	2	11	375	2	12	85.05	-161.34
1	6	14	1	2	12	339	2	11	97.2	-182.39
1	7	15	1	5	1	560	6	28	218.7	-56.12
1	7	15	1	5	2	524	6	27	206.55	-77.16
1	7	15	1	5	3	488	6	26	218.7	-98.21
1	7	15	1	5	4	452	6	25	206.55	-119.25
1	7	15	1	5	5	559	7	32	194.4	-56.12
1	7	15	1	5	6	523	7	31	182.25	-77.16
1	7	15	1	5	7	487	7	30	194.4	-98.21
1	7	15	1	5	8	451	7	29	182.25	-119.25
1	7	15	1	5	9	522	8	34	157.95	-77.16
1	7	15	1	5	10	486	8	33	170.1	-98.21
1	7	15	1	5	11	450	8	36	157.95	-119.25
1	7	15	1	5	12	414	8	35	170.1	-140.3
1	8	16	1	4	1	704	9	40	218.7	28.06
1	8	16	1	4	2	668	9	39	206.55	7.01
1	8	16	1	4	3	632	9	38	218.7	-14.03
1	8	16	1	4	4	596	9	37	206.55	-35.07
1	8	16	1	4	5	703	10	44	194.4	28.06
1	8	16	1	4	6	667	10	43	182.25	7.01
1	8	16	1	4	7	631	10	42	194.4	-14.03
1	8	16	1	4	8	595	10	41	182.25	-35.07
1	8	16	1	4	9	666	11	46	157.95	7.01
1	8	16	1	4	10	630	11	45	170.1	-14.03
1	8	16	1	4	11	594	11	48	157.95	-35.07
1	8	16	1	4	12	558	11	47	170.1	-56.12
1	9	17	1	4	1	848	6	28	218.7	112.24
1	9	17	1	4	2	812	6	27	206.55	91.19
1	9	17	1	4	3	776	6	26	218.7	70.15
1	9	17	1	4	4	740	6	25	206.55	49.1
1	9	17	1	4	5	847	7	32	194.4	112.24
1	9	17	1	4	6	811	7	31	182.25	91.19
1	9	17	1	4	7	775	7	30	194.4	70.15
1	9	17	1	4	8	739	7	29	182.25	49.1
1	9	17	1	4	9	810	8	34	157.95	91.19
1	9	17	1	4	10	774	8	33	170.1	70.15
1	9	17	1	4	11	738	8	36	157.95	49.1
1	9	17	1	4	12	702	8	35	170.1	28.06
1	10	28	1	2	1	266	9	40	72.9	-224.47
1	10	28	1	2	2	230	9	39	60.75	-245.52
1	10	28	1	2	3	196	9	38	72.9	-266.56
1	10	28	1	2	4	163	9	37	60.75	-287.61
1	10	28	1	2	5	265	10	44	48.6	-224.47
1	10	28	1	2	6	229	10	43	36.45	-245.52
1	10	28	1	2	7	195	10	42	48.6	-266.56
1	10	28	1	2	8	162	10	41	36.45	-287.61
1	10	28	1	2	9	228	11	46	12.15	-245.52
1	10	28	1	2	10	194	11	45	24.3	-266.56
1	10	28	1	2	11	161	11	48	12.15	-287.61
1	10	28	1	2	12	132	11	47	24.3	-308.65
1	11	29	1	2	1	341	3	16	145.8	-182.39
1	11	29	1	2	2	305	3	15	133.65	-203.43
1	11	29	1	2	3	269	3	14	145.8	-224.47
1	11	29	1	2	4	233	3	13	133.65	-245.52
1	11	29	1	2	5	340	4	20	121.5	-182.39
1	11	29	1	2	6	304	4	19	109.35	-203.43
1	11	29	1	2	7	268	4	18	121.5	-224.47
1	11	29	1	2	8	232	4	17	109.35	-245.52
1	11	29	1	2	9	303	5	22	85.05	-203.43
1	11	29	1	2	10	267	5	21	97.2	-224.47
1	11	29	1	2	11	231	5	24	85.05	-245.52
1	11	29	1	2	12	197	5	23	97.2	-266.56
1	12	30	1	5	1	416	9	40	218.7	-140.3
1	12	30	1	5	2	380	9	39	206.55	-161.34
1	12	30	1	5	3	344	9	38	218.7	-182.39
1	12	30	1	5	4	308	9	37	206.55	-203.43
1	12	30	1	5	5	415	10	44	194.4	-140.3
1	12	30	1	5	6	379	10	43	182.25	-161.34
1	12	30	1	5	7	343	10	42	194.4	-182.39
1	12	30	1	5	8	307	10	41	182.25	-203.43
1	12	30	1	5	9	378	11	46	157.95	-161.34
1	12	30	1	5	10	342	11	45	170.1	-182.39
1	12	30	1	5	11	306	11	48	157.95	-203.43
1	12	30	1	5	12	270	11	47	170.1	-224.47
1	13	31	1	5	1	491	3	16	291.6	-98.21
1	13	31	1	5	2	455	3	15	279.45	-119.25
1	13	31	1	5	3	419	3	14	291.6	-140.3
1	13	31	1	5	4	383	3	13	279.45	-161.34
1	13	31	1	5	5	490	4	20	267.3	-98.21
1	13	31	1	5	6	454	4	19	255.15	-119.25
1	13	31	1	5	7	418	4	18	267.3	-140.3
1	13	31	1	5	8	382	4	17	255.15	-161.34
1	13	31	1	5	9	453	5	22	230.85	-119.25
1	13	31	1	5	10	417	5	21	243	-140.3
1	13	31	1	5	11	381	5	24	230.85	-161.34
1	13	31	1	5	12	345	5	23	243	-182.39
1	14	32	1	5	1	635	0	4	291.6	-14.03
1	14	32	1	5	2	599	0	3	279.45	-35.07
1	14	32	1	5	3	563	0	2	291.6	-56.12
1	14	32	1	5	4	527	0	1	279.45	-77.16
1	14	32	1	5	5	634	1	8	267.3	-14.03
1	14	32	1	5	6	598	1	7	255.15	-35.07
1	14	32	1	5	7	562	1	6	267.3	-56.12
1	14	32	1	5	8	526	1	5	255.15	-77.16
1	14	32	1	5	9	597	2	10	230.85	-35.07
1	14	32	1	5	10	561	2	9	243	-56.12
1	14	32	1	5	11	525	2	12	230.85	-77.16
1	14	32	1	5	12	489	2	11	243	-98.21
1	15	33	1	4	1	779	3	16	291.6	70.15
1	15	33	1	4	2	743	3	15	279.45	49.1
1	15	33	1	4	3	707	3	14	291.6	28.06
1	15	33	1	4	4	671	3	13	279.45	7.01
1	15	33	1	4	5	778	4	20	267.3	70.15
1	15	33	1	4	6	742	4	19	255.15	49.1
1	15	33	1	4	7	706	4	18	267.3	28.06
1	15	33	1	4	8	670	4	17	255.15	7.01
1	15	33	1	4	9	741	5	22	230.85	49.1
1	15	33	1	4	10	705	5	21	243	28.06
1	15	33	1	4	11	669	5	24	230.85	7.01
1	15	33	1	4	12	633	5	23	243	-14.03
1	16	34	1	4	1	923	0	4	291.6	154.33
1	16	34	1	4	2	887	0	3	279.45	133.28
1	16	34	1	4	3	851	0	2	291.6	112.24
1	16	34	1	4	4	815	0	1	279.45	91.19
1	16	34	1	4	5	922	1	8	267.3	154.33
1	16	34	1	4	6	886	1	7	255.15	133.28
1	16	34	1	4	7	850	1	6	267.3	112.24
1	16	34	1	4	8	814	1	5	255.15	91.19
1	16	34	1	4	9	885	2	10	230.85	133.28
1	16	34	1	4	10	849	2	9	243	112.24
1	16	34	1	4	11	813	2	12	230.85	91.19
1	16	34	1	4	12	777	2	11	243	70.15
1	17	49	1	3	1	134	6	28	72.9	-308.65
1	17	49	1	3	2	107	6	27	60.75	-329.7
1	17	49	1	3	3	84	6	26	72.9	-350.74
1	17	49	1	3	4	63	6	25	60.75	-371.79
1	17	49	1	3	5	133	7	32	48.6	-308.65
1	17	49	1	3	6	106	7	31	36.45	-329.7
1	17	49	1	3	7	83	7	30	48.6	-350.74
1	17	49	1	3	8	62	7	29	36.45	-371.79
1	17	49	1	3	9	105	8	34	12.15	-329.7
1	17	49	1	3	10	82	8	33	24.3	-350.74
1	17	49	1	3	11	61	8	36	12.15	-371.79
1	17	49	1	3	12	44	8	35	24.3	-392.83
1	18	50	1	3	1	199	0	4	145.8	-266.56
1	18	50	1	3	2	166	0	3	133.65	-287.61
1	18	50	1	3	3	137	0	2	145.8	-308.65
1	18	50	1	3	4	110	0	1	133.65	-329.7
1	18	50	1	3	5	198	1	8	121.5	-266.56
1	18	50	1	3	6	165	1	7	109.35	-287.61
1	18	50	1	3	7	136	1	6	121.5	-308.65
1	18	50	1	3	8	109	1	5	109.35	-329.7
1	18	50	1	3	9	164	2	10	85.05	-287.61
1	18	50	1	3	10	135	2	9	97.2	-308.65
1	18	50	1	3	11	108	2	12	85.05	-329.7
1	18	50	1	3	12	85	2	11	97.2	-350.74
1	19	51	1	6	1	272	6	28	218.7	-224.47
1	19	51	1	6	2	236	6	27	206.55	-245.52
1	19	51	1	6	3	202	6	26	218.7	-266.56
1	19	51	1	6	4	169	6	25	206.55	-287.61
1	19	51	1	6	5	271	7	32	194.4	-224.47
1	19	51	1	6	6	235	7	31	182.25	-245.52
1	19	51	1	6	7	201	7	30	194.4	-266.56
1	19	51	1	6	8	168	7	29	182.25	-287.61
1	19	51	1	6	9	234	8	34	157.95	-245.52
1	19	51	1	6	10	200	8	33	170.1	-266.56
1	19	51	1	6	11	167	8	36	157.95	-287.61
1	19	51	1	6	12	138	8	35	170.1	-308.65
1	20	52	1	6	1	347	0	4	291.6	-182.39
1	20	52	1	6	2	311	0	3	279.45	-203.43
1	20	52	1	6	3	275	0	2	291.6	-224.47
1	20	52	1	6	4	239	0	1	279.45	-245.52
1	20	52	1	6	5	346	1	8	267.3	-182.39
1	20	52	1	6	6	310	1	7	255.15	-203.43
1	20	52	1	6	7	274	1	6	267.3	-224.47
1	20	52	1	6	8	238	1	5	255.15	-245.52
1	20	52	1	6	9	309	2	10	230.85	-203.43
1	20	52	1	6	10	273	2	9	243	-224.47
1	20	52	1	6	11	237	2	12	230.85	-245.52
1	20	52	1	6	12	203	2	11	243	-266.56
1	21	53	1	9	1	422	6	28	364.5	-140.3
1	21	53	1	9	2	386	6	27	352.35	-161.34
1	21	53	1	9	3	350	6	26	364.5	-182.39
1	21	53	1	9	4	314	6	25	352.35	-203.43
1	21	53	1	9	5	421	7	32	340.2	-140.3
1	21	53	1	9	6	385	7	31	328.05	-161.34
1	21	53	1	9	7	349	7	30	340.2	-182.39
1	21	53	1	9	8	313	7	29	328.05	-203.43
1	21	53	1	9	9	384	8	34	303.75	-161.34
1	21	53	1	9	10	348	8	33	315.9	-182.39
1	21	53	1	9	11	312	8	36	303.75	-203.43
1	21	53	1	9	12	276	8	35	315.9	-224.47
1	22	54	1	8	1	566	9	40	364.5	-56.12
1	22	54	1	8	2	530	9	39	352.35	-77.16
1	22	54	1	8	3	494	9	38	364.5	-98.21
1	22	54	1	8	4	458	9	37	352.35	-119.25
1	22	54	1	8	5	565	10	44	340.2	-56.12
1	22	54	1	8	6	529	10	43	328.05	-77.16
1	22	54	1	8	7	493	10	42	340.2	-98.21
1	22	54	1	8	8	457	10	41	328.05	-119.25
1	22	54	1	8	9	528	11	46	303.75	-77.16
1	22	54	1	8	10	492	11	45	315.9	-98.21
1	22	54	1	8	11	456	11	48	303.75	-119.25
1	22	54	1	8	12	420	11	47	315.9	-140.3
1	23	55	1	8	1	710	6	28	364.5	28.06
1	23	55	1	8	2	674	6	27	352.35	7.01
1	23	55	1	8	3	638	6	26	364.5	-14.03
1	23	55	1	8	4	602	6	25	352.35	-35.07
1	23	55	1	8	5	709	7	32	340.2	28.06
1	23	55	1	8	6	673	7	31	328.05	7.01
1	23	55	1	8	7	637	7	30	340.2	-14.03
1	23	55	1	8	8	601	7	29	328.05	-35.07
1	23	55	1	8	9	672	8	34	303.75	7.01
1	23	55	1	8	10	636	8	33	315.9	-14.03
1	23	55	1	8	11	600	8	36	303.75	-35.07
1	23	55	1	8	12	564	8	35	315.9	-56.12
1	24	56	1	7	1	854	9	40	364.5	112.24
1	24	56	1	7	2	818	9	39	352.35	91.19
1	24	56	1	7	3	782	9	38	364.5	70.15
1	24	56	1	7	4	746	9	37	352.35	49.1
1	24	56	1	7	5	853	10	44	340.2	112.24
1	24	56	1	7	6	817	10	43	328.05	91.19
1	24	56	1	7	7	781	10	42	340.2	70.15
1	24	56	1	7	8	745	10	41	328.05	49.1
1	24	56	1	7	9	816	11	46	303.75	91.19
1	24	56	1	7	10	780	11	45	315.9	70.15
1	24	56	1	7	11	744	11	48	303.75	49.1
1	24	56	1	7	12	708	11	47	315.9	28.06
1	25	57	1	7	1	998	6	28	364.5	196.42
1	25	57	1	7	2	962	6	27	352.35	175.37
1	25	57	1	7	3	926	6	26	364.5	154.33
1	25	57	1	7	4	890	6	25	352.35	133.28
1	25	57	1	7	5	997	7	32	340.2	196.42
1	25	57	1	7	6	961	7	31	328.05	175.37
1	25	57	1	7	7	925	7	30	340.2	154.33
1	25	57	1	7	8	889	7	29	328.05	133.28
1	25	57	1	7	9	960	8	34	303.75	175.37
1	25	57	1	7	10	924	8	33	315.9	154.33
1	25	57	1	7	11	888	8	36	303.75	133.28
1	25	57	1	7	12	852	8	35	315.9	112.24
1	26	76	1	3	1	46	9	40	72.9	-392.83
1	26	76	1	3	2	31	9	39	60.75	-413.87
1	26	76	1	3	3	20	9	38	72.9	-434.92
1	26	76	1	3	4	11	9	37	60.75	-455.96
1	26	76	1	3	5	45	10	44	48.6	-392.83
1	26	76	1	3	6	30	10	43	36.45	-413.87
1	26	76	1	3	7	19	10	42	48.6	-434.92
1	26	76	1	3	8	10	10	41	36.45	-455.96
1	26	76	1	3	9	29	11	46	12.15	-413.87
1	26	76	1	3	10	18	11	45	24.3	-434.92
1	26	76	1	3	11	9	11	48	12.15	-455.96
1	26	76	1	3	12	4	11	47	24.3	-477.01
1	27	77	1	3	1	87	3	16	145.8	-350.74
1	27	77	1	3	2	66	3	15	133.65	-371.79
1	27	77	1	3	3	49	3	14	145.8	-392.83
1	27	77	1	3	4	34	3	13	133.65	-413.87
1	27	77	1	3	5	86	4	20	121.5	-350.74
1	27	77	1	3	6	65	4	19	109.35	-371.79
1	27	77	1	3	7	48	4	18	121.5	-392.83
1	27	77	1	3	8	33	4	17	109.35	-413.87
1	27	77	1	3	9	64	5	22	85.05	-371.79
1	27	77	1	3	10	47	5	21	97.2	-392.83
1	27	77	1	3	11	32	5	24	85.05	-413.87
1	27	77	1	3	12	21	5	23	97.2	-434.92
1	28	78	1	6	1	140	9	40	218.7	-308.65
1	28	78	1	6	2	113	9	39	206.55	-329.7
1	28	78	1	6	3	90	9	38	218.7	-350.74
1	28	78	1	6	4	69	9	37	206.55	-371.79
1	28	78	1	6	5	139	10	44	194.4	-308.65
1	28	78	1	6	6	112	10	43	182.25	-329.7
1	28	78	1	6	7	89	10	42	194.4	-350.74
1	28	78	1	6	8	68	10	41	182.25	-371.79
1	28	78	1	6	9	111	11	46	157.95	-329.7
1	28	78	1	6	10	88	11	45	170.1	-350.74
1	28	78	1	6	11	67	11	48	157.95	-371.79
1	28	78	1	6	12	50	11	47	170.1	-392.83
1	29	79	1	6	1	205	3	16	291.6	-266.56
1	29	79	1	6	2	172	3	15	279.45	-287.61
1	29	79	1	6	3	143	3	14	291.6	-308.65
1	29	79	1	6	4	116	3	13	279.45	-329.7
1	29	79	1	6	5	204	4	20	267.3	-266.56
1	29	79	1	6	6	171	4	19	255.15	-287.61
1	29	79	1	6	7	142	4	18	267.3	-308.65
1	29	79	1	6	8	115	4	17	255.15	-329.7
1	29	79	1	6	9	170	5	22	230.85	-287.61
1	29	79	1	6	10	141	5	21	243	-308.65
1	29	79	1	6	11	114	5	24	230.85	-329.7
1	29	79	1	6	12	91	5	23	243	-350.74
1	30	80	1	9	1	278	9	40	364.5	-224.47
1	30	80	1	9	2	242	9	39	352.35	-245.52
1	30	80	1	9	3	208	9	38	364.5	-266.56
1	30	80	1	9	4	175	9	37	352.35	-287.61
1	30	80	1	9	5	277	10	44	340.2	-224.47
1	30	80	1	9	6	241	10	43	328.05	-245.52
1	30	80	1	9	7	207	10	42	340.2	-266.56
1	30	80	1	9	8	174	10	41	328.05	-287.61
1	30	80	1	9	9	240	11	46	303.75	-245.52
1	30	80	1	9	10	206	11	45	315.9	-266.56
1	30	80	1	9	11	173	11	48	303.75	-287.61
1	30	80	1	9	12	144	11	47	315.9	-308.65
1	31	81	1	9	1	353	3	16	437.4	-182.39
1	31	81	1	9	2	317	3	15	425.25	-203.43
1	31	81	1	9	3	281	3	14	437.4	-224.47
1	31	81	1	9	4	245	3	13	425.25	-245.52
1	31	81	1	9	5	352	4	20	413.1	-182.39
1	31	81	1	9	6	316	4	19	400.95	-203.43
1	31	81	1	9	7	280	4	18	413.1	-224.47
1	31	81	1	9	8	244	4	17	400.95	-245.52
