# Can_master	Can_node	Module	MCR	FADC_Board	Pixel_number	PixelID	FADC_Quad	FADC_Chan	x[mm]	y[mm]	image_x	image_y
1	1	1	1	1	1	698	6	28	72.90	28.06	27	21
1	1	1	1	1	2	662	6	27	60.75	7.01	26	21
1	1	1	1	1	3	626	6	26	72.90	-14.03	26	20
1	1	1	1	1	4	590	6	25	60.75	-35.07	25	20
1	1	1	1	1	5	697	7	32	48.60	28.06	26	22
1	1	1	1	1	6	661	7	31	36.45	7.01	25	22
1	1	1	1	1	7	625	7	30	48.60	-14.03	25	21
1	1	1	1	1	8	589	7	29	36.45	-35.07	24	21
1	1	1	1	1	9	660	8	34	12.15	7.01	24	23
1	1	1	1	1	10	624	8	33	24.30	-14.03	24	22
1	1	1	1	1	11	588	8	36	12.15	-35.07	23	22
1	1	1	1	1	12	552	8	35	24.30	-56.12	23	21
1	2	4	1	1	1	554	9	40	72.90	-56.12	25	19
1	2	4	1	1	2	518	9	39	60.75	-77.16	24	19
1	2	4	1	1	3	482	9	38	72.90	-98.21	24	18
1	2	4	1	1	4	446	9	37	60.75	-119.25	23	18
1	2	4	1	1	5	553	10	44	48.60	-56.12	24	20
1	2	4	1	1	6	517	10	43	36.45	-77.16	23	20
1	2	4	1	1	7	481	10	42	48.60	-98.21	23	19
1	2	4	1	1	8	445	10	41	36.45	-119.25	22	19
1	2	4	1	1	9	516	11	46	12.15	-77.16	22	21
1	2	4	1	1	10	480	11	45	24.30	-98.21	22	20
1	2	4	1	1	11	444	11	48	12.15	-119.25	21	20
1	2	4	1	1	12	408	11	47	24.30	-140.30	21	19
1	3	5	1	1	1	629	3	16	145.80	-14.03	29	17
1	3	5	1	1	2	593	3	15	133.65	-35.07	28	17
1	3	5	1	1	3	557	3	14	145.80	-56.12	28	16
1	3	5	1	1	4	521	3	13	133.65	-77.16	27	16
1	3	5	1	1	5	628	4	20	121.50	-14.03	28	18
1	3	5	1	1	6	592	4	19	109.35	-35.07	27	18
1	3	5	1	1	7	556	4	18	121.50	-56.12	27	17
1	3	5	1	1	8	520	4	17	109.35	-77.16	26	17
1	3	5	1	1	9	591	5	22	85.05	-35.07	26	19
1	3	5	1	1	10	555	5	21	97.20	-56.12	26	18
1	3	5	1	1	11	519	5	24	85.05	-77.16	25	18
1	3	5	1	1	12	483	5	23	97.20	-98.21	25	17
1	4	6	1	1	1	773	0	4	145.80	70.15	31	19
1	4	6	1	1	2	737	0	3	133.65	49.10	30	19
1	4	6	1	1	3	701	0	2	145.80	28.06	30	18
1	4	6	1	1	4	665	0	1	133.65	7.01	29	18
1	4	6	1	1	5	772	1	8	121.50	70.15	30	20
1	4	6	1	1	6	736	1	7	109.35	49.10	29	20
1	4	6	1	1	7	700	1	6	121.50	28.06	29	19
1	4	6	1	1	8	664	1	5	109.35	7.01	28	19
1	4	6	1	1	9	735	2	10	85.05	49.10	28	21
1	4	6	1	1	10	699	2	9	97.20	28.06	28	20
1	4	6	1	1	11	663	2	12	85.05	7.01	27	20
1	4	6	1	1	12	627	2	11	97.20	-14.03	27	19
1	5	13	1	2	1	410	6	28	72.90	-140.30	23	17
1	5	13	1	2	2	374	6	27	60.75	-161.34	22	17
1	5	13	1	2	3	338	6	26	72.90	-182.39	22	16
1	5	13	1	2	4	302	6	25	60.75	-203.43	21	16
1	5	13	1	2	5	409	7	32	48.60	-140.30	22	18
1	5	13	1	2	6	373	7	31	36.45	-161.34	21	18
1	5	13	1	2	7	337	7	30	48.60	-182.39	21	17
1	5	13	1	2	8	301	7	29	36.45	-203.43	20	17
1	5	13	1	2	9	372	8	34	12.15	-161.34	20	19
1	5	13	1	2	10	336	8	33	24.30	-182.39	20	18
1	5	13	1	2	11	300	8	36	12.15	-203.43	19	18
1	5	13	1	2	12	264	8	35	24.30	-224.47	19	17
1	6	14	1	2	1	485	0	4	145.80	-98.21	27	15
1	6	14	1	2	2	449	0	3	133.65	-119.25	26	15
1	6	14	1	2	3	413	0	2	145.80	-140.30	26	14
1	6	14	1	2	4	377	0	1	133.65	-161.34	25	14
1	6	14	1	2	5	484	1	8	121.50	-98.21	26	16
1	6	14	1	2	6	448	1	7	109.35	-119.25	25	16
1	6	14	1	2	7	412	1	6	121.50	-140.30	25	15
1	6	14	1	2	8	376	1	5	109.35	-161.34	24	15
1	6	14	1	2	9	447	2	10	85.05	-119.25	24	17
1	6	14	1	2	10	411	2	9	97.20	-140.30	24	16
1	6	14	1	2	11	375	2	12	85.05	-161.34	23	16
1	6	14	1	2	12	339	2	11	97.20	-182.39	23	15
1	7	15	1	5	1	560	6	28	218.70	-56.12	31	13
1	7	15	1	5	2	524	6	27	206.55	-77.16	30	13
1	7	15	1	5	3	488	6	26	218.70	-98.21	30	12
1	7	15	1	5	4	452	6	25	206.55	-119.25	29	12
1	7	15	1	5	5	559	7	32	194.40	-56.12	30	14
1	7	15	1	5	6	523	7	31	182.25	-77.16	29	14
1	7	15	1	5	7	487	7	30	194.40	-98.21	29	13
1	7	15	1	5	8	451	7	29	182.25	-119.25	28	13
1	7	15	1	5	9	522	8	34	157.95	-77.16	28	15
1	7	15	1	5	10	486	8	33	170.10	-98.21	28	14
1	7	15	1	5	11	450	8	36	157.95	-119.25	27	14
1	7	15	1	5	12	414	8	35	170.10	-140.30	27	13
1	8	16	1	4	1	704	9	40	218.70	28.06	33	15
1	8	16	1	4	2	668	9	39	206.55	7.01	32	15
1	8	16	1	4	3	632	9	38	218.70	-14.03	32	14
1	8	16	1	4	4	596	9	37	206.55	-35.07	31	14
1	8	16	1	4	5	703	10	44	194.40	28.06	32	16
1	8	16	1	4	6	667	10	43	182.25	7.01	31	16
1	8	16	1	4	7	631	10	42	194.40	-14.03	31	15
1	8	16	1	4	8	595	10	41	182.25	-35.07	30	15
1	8	16	1	4	9	666	11	46	157.95	7.01	30	17
1	8	16	1	4	10	630	11	45	170.10	-14.03	30	16
1	8	16	1	4	11	594	11	48	157.95	-35.07	29	16
1	8	16	1	4	12	558	11	47	170.10	-56.12	29	15
1	9	17	1	4	1	848	6	28	218.70	112.24	35	17
1	9	17	1	4	2	812	6	27	206.55	91.19	34	17
1	9	17	1	4	3	776	6	26	218.70	70.15	34	16
1	9	17	1	4	4	740	6	25	206.55	49.10	33	16
1	9	17	1	4	5	847	7	32	194.40	112.24	34	18
1	9	17	1	4	6	811	7	31	182.25	91.19	33	18
1	9	17	1	4	7	775	7	30	194.40	70.15	33	17
